All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
T7,A9/ GPIO212,,GPIO212,EQEP6_B,EPWM14_B,,GPIO212,,SD4_C3,,GPIO212,,,,GPIO212,,ESC_LED_LINK1_ACTIVE,
P7,B4/ GPIO215,,GPIO215,SCIA_RX,EMIF1_CS4n,CANA_RX,GPIO215,OUTPUTXBAR5,EQEP3_A,SD2_D3,GPIO215,EMIF1_CS2n,I2CB_SDA,SPIC_POCI,GPIO215,EPWM15_A,LINA_TX,EMIF1_D12
N7,B5/ GPIO216,,GPIO216,SCIA_TX,EMIF1_SDCKE,SPID_CLK,GPIO216,OUTPUTXBAR6,EQEP3_B,SD2_C3,GPIO216,EMIF1_CS3n,ESC_LATCH0,ESC_I2C_SDA,GPIO216,EPWM15_B,ESC_SYNC0,EMIF1_D13
P8,B8/ GPIO217,,GPIO217,CANA_TX,EMIF1_WEn,MCANA_TX,GPIO217,OUTPUTXBAR8,EQEP3_INDEX,SD2_C4,GPIO217,EMIF1_RNW,I2CA_SDA,SPID_PTE,GPIO217,EPWM16_B,LINB_TX,SPID_POCI
N8,B9/ GPIO218,,GPIO218,I2CA_SDA,EMIF1_CS0n,SPIA_PICO,GPIO218,EQEP4_A,LINB_TX,CLB_OUTPUTXBAR1,GPIO218,EMIF1_OEn,I2CA_SCL,,GPIO218,,,SPID_CLK
P16,GPIO224/ERRORSTS,,GPIO224,ERRORSTS,EMIF1_SDCKE,XCLKOUT,GPIO224,OUTPUTXBAR1,,,GPIO224,,,,GPIO224,SD2_C1,ESC_PDI_UC_IRQ,
L1,VREFLOC,VREFLOC
M1,VREFLOA,VREFLOA
M2,VREFHIA,VREFHIA
D8,GPIO31,,GPIO31,CANA_TX,EMIF1_WEn,MCANA_TX,GPIO31,OUTPUTXBAR8,EQEP3_INDEX,SD2_C4,GPIO31,EMIF1_RNW,I2CA_SDA,,GPIO31,EPWM16_B,,SPID_POCI
L12,GPIO39,,GPIO39,,EMIF1_A1,,GPIO39,UARTA_RX,SCIB_RX,CLB_OUTPUTXBAR8,GPIO39,EMIF1_A4,ESC_MDIO_DATA,ESC_LED_RUN,GPIO39,SD1_D4,FSIRXD_CLK,
D15,GPIO67,,GPIO67,,EMIF1_D17,EPWM17_A,GPIO67,LINB_TX,,,GPIO67,,,ESC_I2C_SDA,GPIO67,SD1_D3,,
F12,GPIO81,,GPIO81,EPWM11_B,EMIF1_D3,,GPIO81,,EQEP2_INDEX,SD3_D3,GPIO81,,,,GPIO81,,ESC_RX0_DATA1,
R7,B10/ GPIO219,,GPIO219,EQEP6_INDEX,EPWM8_B,,GPIO219,,SD4_C4,,GPIO219,,,,GPIO219,,ESC_LED_RUN,
P4,B11,,AIO240,,,,,,,,,,,,,,,
M3,VSSA,VSSA
N2,VSSA,VSSA
T1,VSSA,VSSA
T5,VSSA,VSSA
N1,VDDA,VDDA
T6,VDDA,VDDA
B1,VDDIO,VDDIO
G7,VDDIO,VDDIO
G8,VDDIO,VDDIO
H5,VDDIO,VDDIO
J5,VDDIO,VDDIO
J10,VDDIO,VDDIO
K7,VDDIO,VDDIO
K10,VDDIO,VDDIO
T15,VDDIO,VDDIO
A16,VSS,VSS
G5,VSS,VSS
G9,VSS,VSS
G10,VSS,VSS
G11,VSS,VSS
H6,VSS,VSS
H9,VSS,VSS
H10,VSS,VSS
J6,VSS,VSS
J8,VSS,VSS
J9,VSS,VSS
K6,VSS,VSS
T16,VSS,VSS
F9,VDD,VDD
F10,VDD,VDD
G6,VDD,VDD
J11,VDD,VDD
K8,VDD,VDD
K9,VDD,VDD
T11,VDD3VFL,VDD3VFL
R11,VDD3VFL,VDD3VFL
G15,VDDOSC,VDDOSC
E15,VDDIO,VDDIO
L2,VREFHIC,VREFHIC
A4,GPIO95,,GPIO95,EPWM18_A,EQEP4_A,,GPIO95,,SD1_D1,,GPIO95,,ESC_GPO10,,GPIO95,,CLB_OUTPUTXBAR5,
B4,GPIO96,,GPIO96,EPWM18_B,EQEP4_B,,GPIO96,EQEP1_A,SD1_C1,,GPIO96,,ESC_GPO11,,GPIO96,,CLB_OUTPUTXBAR6,
C4,GPIO97,,GPIO97,,EQEP4_STROBE,,GPIO97,EQEP1_B,SD1_D2,,GPIO97,,ESC_GPI17,,GPIO97,,CLB_OUTPUTXBAR7,
E2,GPIO98,,GPIO98,,EQEP4_INDEX,,GPIO98,EQEP1_STROBE,SD1_C2,,GPIO98,,ESC_GPI18,,GPIO98,,CLB_OUTPUTXBAR8,
N9,GPIO101,,GPIO101,EPWM18_A,,,GPIO101,EQEP2_B,SPIC_POCI,,GPIO101,,ESC_GPI1,EMIF1_A5,GPIO101,FSITXA_D1,,
C13,GPIO102,,GPIO102,EPWM18_B,,,GPIO102,EQEP2_STROBE,SPIC_CLK,,GPIO102,,ESC_GPI2,EMIF1_A6,GPIO102,FSITXA_CLK,,
F1,GPIO106,,GPIO106,EPWM16_A,EMIF1_A10,,GPIO106,EQEP3_STROBE,SD3_D2,,GPIO106,,ESC_GPI6,,GPIO106,FSITXB_D0,,
F2,GPIO107,,GPIO107,EPWM16_B,,,GPIO107,EQEP3_INDEX,SD3_C2,,GPIO107,,ESC_GPI7,,GPIO107,FSITXB_D1,,
G2,GPIO108,,GPIO108,EPWM17_A,EMIF1_A12,,GPIO108,EQEP5_A,SD3_D3,,GPIO108,,ESC_GPI8,,GPIO108,FSITXB_CLK,,
G3,GPIO109,,GPIO109,EPWM17_B,EMIF1_A11,,GPIO109,EQEP5_B,SD3_C3,,GPIO109,,ESC_GPI9,,GPIO109,,,
H2,GPIO110,,GPIO110,EMIF1_D31,,,GPIO110,EQEP5_STROBE,SD3_D4,,GPIO110,,ESC_GPI10,,GPIO110,FSIRXB_D0,,
H3,GPIO111,,GPIO111,EMIF1_D30,,,GPIO111,EQEP5_INDEX,SD3_C4,,GPIO111,,ESC_GPI11,,GPIO111,FSIRXB_D1,,
H4,GPIO112,,GPIO112,EMIF1_D29,,,GPIO112,,,SD1_D3,GPIO112,,ESC_GPI12,,GPIO112,FSIRXB_CLK,,
J3,GPIO113,,GPIO113,EMIF1_D28,,,GPIO113,,,SD1_C3,GPIO113,,ESC_GPI13,,GPIO113,,,
J4,GPIO114,,GPIO114,EMIF1_D27,,,GPIO114,,,SD1_D4,GPIO114,,ESC_GPI14,,GPIO114,,,
P9,GPIO115,,GPIO115,EMIF1_D26,,,GPIO115,OUTPUTXBAR5,,SD1_C4,GPIO115,,ESC_GPI15,,GPIO115,FSIRXC_D0,,
H11,GPIO116,,GPIO116,,,,GPIO116,OUTPUTXBAR6,,,GPIO116,,ESC_GPI16,,GPIO116,FSIRXC_D1,,
M10,GPIO119,,GPIO119,EMIF1_D25,,,GPIO119,MCANB_TX,,,GPIO119,,ESC_GPI19,,GPIO119,FSIRXD_D1,,
M11,GPIO120,,GPIO120,EMIF1_D24,,,GPIO120,MCANB_RX,,,GPIO120,,ESC_GPI20,,GPIO120,FSIRXD_CLK,,
L7,GPIO122,,GPIO122,EMIF1_D23,,,GPIO122,,SPIC_PICO,SD1_D1,GPIO122,,ESC_GPI22,,GPIO122,,,
M7,GPIO123,,GPIO123,EMIF1_D22,,,GPIO123,,SPIC_POCI,SD1_C1,GPIO123,,ESC_GPI23,,GPIO123,,,
L8,GPIO124,,GPIO124,EMIF1_D21,,,GPIO124,,SPIC_CLK,SD1_D2,GPIO124,,ESC_GPI24,,GPIO124,,,
M8,GPIO125,,GPIO125,EMIF1_D20,,,GPIO125,,SPIC_PTE,SD1_C2,GPIO125,,ESC_GPI25,,GPIO125,,ESC_LATCH0,
T9,GPIO126,,GPIO126,EMIF1_D19,,,GPIO126,,SPID_PICO,SD1_D3,GPIO126,,ESC_GPI26,,GPIO126,,ESC_LATCH1,
R9,GPIO127,,GPIO127,EMIF1_D18,,,GPIO127,,SPID_POCI,SD1_C3,GPIO127,,ESC_GPI27,,GPIO127,,ESC_SYNC0,
M9,GPIO128,,GPIO128,EMIF1_D17,,,GPIO128,,SPID_CLK,SD1_D4,GPIO128,,ESC_GPI28,,GPIO128,,ESC_SYNC1,
L9,GPIO129,,GPIO129,EMIF1_D16,,,GPIO129,,SPID_PTE,SD1_C4,GPIO129,,ESC_GPI29,,GPIO129,,ESC_TX1_ENA,
T10,GPIO130,,GPIO130,EPWM13_A,,,GPIO130,,,SD2_D1,GPIO130,,ESC_GPI30,,GPIO130,,ESC_TX1_CLK,
N13,GPIO131,,GPIO131,EPWM13_B,,,GPIO131,,,SD2_C1,GPIO131,,ESC_GPI31,,GPIO131,,ESC_TX1_DATA0,
T14,GPIO132,,GPIO132,EPWM14_A,,,GPIO132,,,SD2_D2,GPIO132,,ESC_GPO0,,GPIO132,,ESC_TX1_DATA1,
R14,GPIO134,,GPIO134,EPWM14_B,,,GPIO134,,,SD2_D3,GPIO134,,ESC_GPO1,,GPIO134,SD2_C1,ESC_TX1_DATA2,
H13,GPIO141,,GPIO141,EPWM15_A,,,GPIO141,,SCIB_TX,,GPIO141,,ESC_GPO8,,GPIO141,,ESC_RX1_DATA2,
H14,GPIO142,,GPIO142,EPWM15_B,,,GPIO142,,SCIB_RX,,GPIO142,,ESC_GPO9,,GPIO142,,ESC_RX1_DATA3,
H15,GPIO145,,GPIO145,EPWM1_A,,,GPIO145,,MCANB_TX,,GPIO145,,ESC_GPO12,,GPIO145,,ESC_LED_ERR,
H16,GPIO146,,GPIO146,EPWM1_B,,,GPIO146,,MCANB_RX,,GPIO146,,ESC_GPO13,,GPIO146,,ESC_LED_RUN,
H12,GPIO147,,GPIO147,EPWM2_A,,,GPIO147,,EQEP5_A,,GPIO147,,ESC_GPO14,,GPIO147,,ESC_LED_STATE_RUN,
C12,GPIO148,,GPIO148,EPWM2_B,,,GPIO148,,EQEP5_B,,GPIO148,,ESC_GPO15,,GPIO148,,ESC_PHY0_LINKSTATUS,
B12,GPIO149,,GPIO149,EPWM3_A,,,GPIO149,,EQEP5_STROBE,,GPIO149,,ESC_GPO16,,GPIO149,,ESC_PHY1_LINKSTATUS,
A12,GPIO150,,GPIO150,EPWM3_B,,,GPIO150,,EQEP5_INDEX,,GPIO150,,ESC_GPO17,,GPIO150,,ESC_I2C_SDA,
F11,GPIO151,,GPIO151,EPWM4_A,,,GPIO151,,PMBUSA_SCL,,GPIO151,,ESC_GPO18,,GPIO151,FSITXA_D0,ESC_I2C_SCL,
E11,GPIO152,,GPIO152,EPWM4_B,,,GPIO152,,PMBUSA_SDA,,GPIO152,,ESC_GPO19,,GPIO152,FSITXA_D1,ESC_MDIO_CLK,
D11,GPIO153,,GPIO153,EPWM5_A,,,GPIO153,,PMBUSA_ALERT,,GPIO153,,ESC_GPO20,,GPIO153,FSITXA_CLK,ESC_MDIO_DATA,
C11,GPIO154,,GPIO154,EPWM5_B,,,GPIO154,,PMBUSA_CTL,,GPIO154,,ESC_GPO21,,GPIO154,FSIRXA_D0,ESC_PHY_CLK,
B11,GPIO155,,GPIO155,EPWM6_A,,,GPIO155,,,,GPIO155,,ESC_GPO22,,GPIO155,FSIRXA_D1,ESC_PHY_RESETn,
A11,GPIO156,,GPIO156,EPWM6_B,,,GPIO156,,,,GPIO156,,ESC_GPO23,,GPIO156,FSIRXA_CLK,ESC_TX0_ENA,
E10,GPIO157,,GPIO157,EPWM7_A,,,GPIO157,,,,GPIO157,,ESC_GPO24,,GPIO157,FSITXB_D0,ESC_TX0_CLK,
D10,GPIO158,,GPIO158,EPWM7_B,,,GPIO158,,,,GPIO158,,ESC_GPO25,,GPIO158,FSITXB_D1,ESC_TX0_DATA0,
C10,GPIO159,,GPIO159,EPWM8_A,,,GPIO159,,,,GPIO159,,ESC_GPO26,,GPIO159,FSITXB_CLK,ESC_TX0_DATA1,
B10,GPIO160,,GPIO160,EPWM8_B,,,GPIO160,,,,GPIO160,,ESC_GPO27,,GPIO160,FSIRXB_D0,ESC_TX0_DATA2,
E9,GPIO161,,GPIO161,EPWM9_A,,,GPIO161,,,,GPIO161,,ESC_GPO28,,GPIO161,FSIRXB_D1,ESC_TX0_DATA3,
A8,GPIO162,,GPIO162,EPWM9_B,,,GPIO162,,,,GPIO162,,ESC_GPO29,,GPIO162,FSIRXB_CLK,ESC_RX0_DV,
B8,GPIO163,,GPIO163,EPWM10_A,,,GPIO163,,,,GPIO163,,ESC_GPO30,,GPIO163,FSIRXC_D0,ESC_RX0_CLK,
C8,GPIO164,,GPIO164,EPWM10_B,,,GPIO164,,,,GPIO164,,ESC_GPO31,,GPIO164,FSIRXC_D1,ESC_RX0_ERR,
F6,GPIO165,,GPIO165,EPWM11_A,,,GPIO165,,,,GPIO165,,,,GPIO165,FSIRXC_CLK,ESC_RX0_DATA0,
B5,GPIO166,,GPIO166,EPWM11_B,,,GPIO166,,,,GPIO166,,,,GPIO166,FSIRXD_D0,ESC_RX0_DATA1,
E5,GPIO167,,GPIO167,EPWM12_A,,,GPIO167,,,,GPIO167,,,,GPIO167,FSIRXD_D1,ESC_RX0_DATA2,
F5,GPIO168,,GPIO168,EPWM12_B,,,GPIO168,,,,GPIO168,,,,GPIO168,FSIRXD_CLK,ESC_RX0_DATA3,
R5,B13,,AIO238,,,,,,,,,,,,,,,
K1,C13,,AIO239,,,,,,,,,,,,,,,
L3,C10,,AIO241,,,,,,,,,,,,,,,
K2,C11,,AIO242,,,,,,,,,,,,,,,
J1,C1/ GPIO200,,GPIO200,EQEP1_INDEX,EPWM17_B,SCIB_RX,GPIO200,EPWM12_B,SPIB_PTE,SD1_C4,GPIO200,MCANA_RX,EMIF1_CAS,ESC_TX1_DATA1,GPIO200,,SPIC_PTE,
K3,C8/ GPIO202,,GPIO202,OUTPUTXBAR2,EQEP2_B,EPWM18_B,GPIO202,LINB_RX,SPIB_POCI,SD2_C1,GPIO202,PMBUSA_SDA,EMIF1_DQM1,ESC_TX1_DATA3,GPIO202,EPWM13_B,FSITXA_D1,
J2,C9/ GPIO201,,GPIO201,OUTPUTXBAR1,EQEP2_A,EPWM18_A,GPIO201,LINB_TX,SPIB_PICO,SD2_D1,GPIO201,PMBUSA_SCL,EMIF1_DQM0,ESC_TX1_DATA2,GPIO201,EPWM13_A,,
K4,C7/ GPIO198,,GPIO198,EQEP1_A,EPWM9_B,SPIA_PICO,GPIO198,,,,GPIO198,,,,GPIO198,,ESC_PDI_UC_IRQ,
D16,GPIO43,,GPIO43,,,EPWM14_B,GPIO43,EQEP4_B,I2CA_SCL,SD4_D4,GPIO43,,CLB_OUTPUTXBAR6,UARTA_RX,GPIO43,,FSIRXD_D1,SCIA_RX
E16,GPIO42,,GPIO42,,,EPWM14_A,GPIO42,EQEP4_A,I2CA_SDA,SD4_C4,GPIO42,,CLB_OUTPUTXBAR5,UARTA_TX,GPIO42,,FSIRXD_D0,SCIA_TX

